City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kolondieba,11.0882,-6.8926,22.27,96,98,3.52,ML,1722658207
84,namibe,-15.1961,12.1522,17.6,90,0,1.52,AO,1722658209
85,la sarre,48.8002,-79.1996,19.18,84,19,2.96,CA,1722658210
86,kilindoni,-7.9139,39.6668,24.68,72,15,6.72,TZ,1722658211
87,qaqortoq,60.7167,-46.0333,7.74,71,0,1.1,GL,1722658212
88,santa elena de uairen,4.6167,-61.1333,19.05,92,99,0.32,VE,1722658214
89,sarny,51.338,26.6019,16.28,71,100,2.06,UA,1722658216
90,sinabang,2.4803,96.3801,27.58,73,100,2.37,ID,1722658218
91,trogir,43.5125,16.2517,23.22,88,0,1.54,HR,1722658219
92,langarud,37.197,50.1535,24.03,60,66,1.92,IR,1722658220
93,dudinka,69.4058,86.1778,19.92,49,18,3.89,RU,1722658221
94,cabo san lucas,22.8909,-109.9124,32.61,56,47,4.02,MX,1722658223
95,laguna de perlas,12.3429,-83.6712,26.19,88,94,3.02,NI,1722658224
96,sale,34.0389,-6.8166,20.35,78,0,1.02,MA,1722658225
97,ilulissat,69.2167,-51.1,7.01,76,2,0.0,GL,1722658227
98,mbanza kongo,-6.267,14.2401,18.16,81,18,1.11,AO,1722658228
99,isangel,-19.55,169.2667,20.54,79,92,6.2,VU,1722658229
100,portland,45.5234,-122.6762,27.99,59,20,2.57,US,1722658007
101,chinsali,-10.5414,32.0816,9.93,72,2,1.66,ZM,1722658231
102,dunedin,-45.8742,170.5036,6.82,73,3,1.13,NZ,1722658233
103,kuala terengganu,5.3302,103.1408,30.44,65,77,2.31,MY,1722658234
104,ta`u,-14.2336,-169.5144,25.97,71,14,7.55,AS,1722658235
105,sao joao da barra,-21.6403,-41.0511,22.38,75,15,5.76,BR,1722658146
106,midvagur,62.0511,-7.1939,10.46,93,75,4.12,FO,1722658238
107,saipan,15.1355,145.701,31.39,70,75,7.2,MP,1722658239
108,vizianagaram,18.1167,83.4167,27.73,75,100,0.92,IN,1722658240
109,arkalyk,50.2486,66.9114,24.06,37,0,3.15,KZ,1722658241
110,tiksi,71.6872,128.8694,8.56,64,100,0.32,RU,1722658243
111,bethel,41.3712,-73.414,24.83,90,100,1.54,US,1722658244
112,hermanus,-34.4187,19.2345,9.39,65,0,1.17,ZA,1722658245
113,lebu,-37.6167,-73.65,8.77,92,16,2.63,CL,1722658247
114,okhotsk,59.3833,143.3,17.3,55,1,1.98,RU,1722658248
115,kiama,-34.6833,150.8667,20.14,50,5,3.39,AU,1722658249
116,chibougamau,49.9168,-74.3659,18.0,94,48,1.93,CA,1722658250
117,kozhevnikovo,56.2589,83.9714,26.25,60,5,2.38,RU,1722658252
118,tolanaro,-25.0319,46.9987,16.84,87,7,2.15,MG,1722658253
119,uzgen,40.7699,73.3007,30.46,18,9,3.57,KG,1722658254
120,coahuayana de hidalgo,18.7,-103.6583,26.12,85,100,0.93,MX,1722658255
121,enewetak,11.3474,162.3373,28.93,76,65,4.67,MH,1722658257
122,howrah,22.5892,88.3103,27.0,94,100,4.12,IN,1722658258
123,san antonio de pale,-1.4014,5.6325,22.43,77,99,4.67,GQ,1722658259
124,taseyevo,57.2169,94.8978,19.5,73,81,1.59,RU,1722658261
125,newman,37.3138,-121.0208,29.45,65,75,2.67,US,1722658262
126,imbituba,-28.24,-48.6703,19.92,95,14,6.64,BR,1722658263
127,guerrero negro,27.9769,-114.0611,20.88,81,26,6.46,MX,1722658265
128,kralendijk,12.15,-68.2667,27.99,83,12,5.66,BQ,1722658266
129,college,64.8569,-147.8028,10.99,89,100,3.09,US,1722658267
130,shagonar,51.5333,92.8,23.16,44,38,1.33,RU,1722658269
131,kotka,60.4664,26.9458,16.59,89,100,3.23,FI,1722658270
132,meadow lake,34.8014,-106.5436,25.9,52,93,2.83,US,1722658271
133,desnogorsk,54.1508,33.2815,13.69,89,98,1.98,RU,1722658272
134,messaad,34.1543,3.5031,29.56,14,17,7.21,DZ,1722658274
135,san julian,21.0167,-102.1667,15.28,85,100,3.75,MX,1722658275
136,invercargill,-46.4,168.35,8.34,77,0,1.25,NZ,1722658276
137,anadyr,64.75,177.4833,10.28,93,100,6.0,RU,1722658277
138,silapathar,26.206,93.8095,31.13,95,98,1.83,IN,1722658279
139,longyearbyen,78.2186,15.6401,11.91,94,0,0.0,SJ,1722658280
140,hithadhoo,-0.6,73.0833,28.5,76,88,4.35,MV,1722658281
141,iskateley,67.6803,53.1512,18.27,61,8,7.73,RU,1722658282
142,cidreira,-30.1811,-50.2056,15.74,92,0,6.09,BR,1722658284
143,khanty-mansiysk,61.0042,69.0019,19.06,94,20,3.0,RU,1722658285
144,san juan del sur,11.2529,-85.8705,25.96,85,99,3.13,NI,1722658286
145,lodja,-3.4833,23.4333,21.03,82,70,0.55,CD,1722658287
146,abra pampa,-22.7205,-65.697,5.58,13,0,2.99,AR,1722658289
147,recani,31.2846,-4.2688,29.36,14,4,0.39,MA,1722658290
148,victoria point,-27.5833,153.3,23.19,55,0,6.77,AU,1722658291
149,westport,41.1415,-73.3579,25.74,85,100,1.79,US,1722658292
150,whitehorse,60.7161,-135.0538,16.84,48,34,1.29,CA,1722658013
151,camana,-16.6228,-72.7111,14.85,92,15,4.39,PE,1722658295
152,fale old settlement,-9.3852,-171.2468,28.14,74,17,6.71,TK,1722658296
153,bel ombre,-4.6167,55.4167,25.36,85,48,8.49,SC,1722658297
154,isafjordur,66.0755,-23.124,8.16,96,100,2.34,IS,1722658299
155,muynoq,43.7683,59.0214,30.18,24,0,0.32,UZ,1722658300
156,keflavik,64.0049,-22.5624,10.24,81,0,4.63,IS,1722658301
157,yuzhno-kurilsk,44.0306,145.8556,20.1,82,96,4.49,RU,1722658302
158,saacow,1.6279,42.4407,22.74,84,100,5.27,SO,1722658304
159,anna regina,7.2644,-58.5077,25.5,87,37,2.28,GY,1722658305
160,itaguai,-22.8522,-43.7753,17.5,83,0,2.38,BR,1722658306
161,kerikeri,-35.2268,173.9474,13.84,93,100,3.13,NZ,1722658307
162,mailsi,29.8003,72.1758,35.6,47,24,5.31,PK,1722658309
163,igoumenitsa,39.5039,20.2656,26.69,48,0,2.54,GR,1722658310
164,savastepe,39.3832,27.6561,14.81,67,0,2.09,TR,1722658311
165,port alfred,-33.5906,26.891,13.03,81,0,3.44,ZA,1722657981
166,yangambi,0.8102,24.4336,21.01,97,70,1.06,CD,1722658314
167,yeniseysk,58.4497,92.1703,20.34,68,39,2.59,RU,1722658109
168,akjoujt,19.6969,-14.4164,27.98,67,8,5.25,MR,1722657978
169,long beach,33.767,-118.1892,28.76,67,0,4.12,US,1722658317
170,ambon,-3.6954,128.1814,28.82,95,40,3.6,ID,1722658148
171,souillac,-20.5167,57.5167,19.64,94,40,0.0,MU,1722657996
172,crane,31.3974,-102.3501,31.61,34,0,5.11,US,1722658321
173,walvis bay,-22.9575,14.5053,12.92,72,8,3.04,NA,1722658322
174,avarua,-21.2078,-159.775,22.03,60,29,2.06,CK,1722657968
175,wailua homesteads,22.0669,-159.378,26.44,76,0,3.6,US,1722657983
176,broome,42.2506,-75.833,21.76,97,66,0.66,US,1722658325
177,la passe,45.5549,-0.8967,16.13,87,4,3.3,FR,1722658015
178,egersund,58.4513,5.9997,14.49,90,99,1.96,NO,1722658328
179,vyalikaya byerastavitsa,53.196,24.0166,15.05,76,100,2.14,BY,1722658329
180,palikir - national government center,6.9248,158.1611,30.47,74,75,3.6,FM,1722658330
181,fortaleza,-3.7227,-38.5247,26.23,78,75,8.75,BR,1722658023
182,arraial do cabo,-22.9661,-42.0278,21.89,78,0,9.03,BR,1722657724
183,borogontsy,62.6683,131.1683,20.76,29,65,2.29,RU,1722658334
184,bredasdorp,-34.5322,20.0403,5.83,93,0,1.6,ZA,1722658011
185,kalemie,-5.9475,29.1947,20.45,65,41,3.29,CD,1722658336
186,callao,-12.0667,-77.15,16.51,82,75,6.17,PE,1722657961
187,pisco,-13.7,-76.2167,16.03,88,1,4.12,PE,1722658015
188,luwingu,-10.2621,29.9271,10.01,61,4,2.27,ZM,1722658339
189,punta arenas,-53.15,-70.9167,4.06,87,100,1.54,CL,1722657964
190,badger,64.8,-147.5333,10.95,90,100,3.09,US,1722657972
191,krasnogvardeyskoye,45.8456,41.5186,23.29,49,4,3.96,RU,1722658343
192,gizo,-8.103,156.8419,27.27,83,98,9.12,SB,1722658344
193,klein reken,51.7833,7.0333,16.4,87,48,0.81,DE,1722658345
194,hamilton,39.1834,-84.5333,20.95,92,0,3.09,US,1722657793
195,beykonak,36.3257,30.303,28.44,57,0,1.22,TR,1722658348
196,aasiaat,68.7098,-52.8699,0.62,88,49,1.35,GL,1722657966
197,hobyo,5.3505,48.5268,25.01,80,100,10.7,SO,1722657993
198,sangsong-ni,39.1694,126.8856,32.21,51,10,3.25,KP,1722658351
199,prince george,53.9166,-122.753,20.16,81,79,0.55,CA,1722658352
200,fang,19.9169,99.2145,25.13,89,99,1.32,TH,1722658353
201,hurricane,37.1753,-113.2899,29.19,45,86,2.48,US,1722658355
202,st. john's,47.5649,-52.7093,13.21,95,100,7.6,CA,1722657930
203,sola,-13.8833,167.55,26.23,80,33,6.5,VU,1722658357
204,holma,9.9008,13.0567,20.86,93,98,0.85,NG,1722658358
205,ibshaway,29.358,30.6814,27.14,55,0,3.26,EG,1722658359
206,udachny,66.4167,112.4,18.97,47,100,1.39,RU,1722657678
207,alofi,-19.0595,-169.9187,24.94,61,75,5.14,NU,1722657979
208,freetown,8.484,-13.2299,24.31,92,100,7.77,SL,1722658365
209,charlestown,-32.95,151.6667,17.68,63,5,0.89,AU,1722658367
210,nogliki,51.8333,143.1667,16.38,58,97,3.52,RU,1722658081
211,playa del ingles,27.7567,-15.5787,26.86,66,2,4.37,ES,1722658369
212,pathein,16.7833,94.7333,28.53,79,100,2.45,MM,1722658370
213,el calafate,-50.3408,-72.2768,2.14,92,100,1.7,AR,1722658372
214,faya-largeau,17.9257,19.1043,29.63,59,77,3.53,TD,1722658373
215,haiku-pauwela,20.9219,-156.3051,25.14,90,75,4.63,US,1722657971
216,kharp,66.8014,65.8081,19.42,68,99,7.99,RU,1722658375
217,greymouth,-42.4667,171.2,9.05,71,0,1.4,NZ,1722658378
218,san mariano,7.5,126.0,30.12,69,74,2.1,PH,1722658379
219,salaqi,40.5414,110.5108,19.17,88,100,1.4,CN,1722658380
220,fairbanks,64.8378,-147.7164,11.0,90,100,3.09,US,1722658144
221,hashtrud,37.4779,47.0508,18.87,58,3,2.78,IR,1722658382
222,anaco,9.4389,-64.4728,23.15,93,42,2.63,VE,1722658383
223,mareeba,-17.0,145.4333,20.82,86,76,4.72,AU,1722658385
